symbol,name,sector,nse_industry,price,currency,market_cap,trailing_pe,price_to_book,dividend_yield,fifty_two_week_low,fifty_two_week_high,beta,status
BOSCHLTD,Bosch Ltd.,Consumer Cyclical,Automobile and Auto Components,41935.0,INR,1236918992896,44.5932,8.331936,0.65,28610.0,42565.0,0.635,ok
BRITANNIA,Britannia Industries Ltd.,Consumer Defensive,Fast Moving Consumer Goods,5363.5,INR,1291897012224,50.95962,25.30084,1.7,5035.0,6336.0,0.468,ok
CGPOWER,CG Power and Industrial Solutions Ltd.,Industrials,Capital Goods,919.85,INR,1448744583168,118.843666,18.17562,0.14,525.5,980.9,0.407,ok
CANBK,Canara Bank,Financial Services,Financial Services,125.99,INR,1142811394048,5.6270657,0.97091633,3.47,103.55,162.89,0.492,ok
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Financial Services,Financial Services,1816.2,INR,1551058468864,29.040613,5.0750837,0.08,1299.4,1875.0,0.524,ok
CIPLA,Cipla Ltd.,Healthcare,Healthcare,1449.6,INR,1171052560384,30.024855,3.4007971,0.91,1165.7,1673.0,0.113,ok
COALINDIA,Coal India Ltd.,Energy,Oil Gas & Consumable Fuels,428.9,INR,2643194281984,8.48299,2.2190604,5.13,368.65,491.25,-0.037,ok
CUMMINSIND,Cummins India Ltd.,Industrials,Capital Goods,5621.5,INR,1558279749632,65.43475,18.385876,1.2,3465.0,6100.0,0.572,ok
DLF,DLF Ltd.,Real Estate,Realty,686.05,INR,1698187444224,37.023743,3.7379994,0.95,489.4,856.45,0.297,ok
DIVISLAB,Divi's Laboratories Ltd.,Healthcare,Healthcare,6812.5,INR,1808504717312,70.52277,10.782189,0.44,5636.5,6982.5,0.222,ok
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,Healthcare,1241.3,INR,1033643229184,24.149805,2.7412417,0.59,1148.4,1414.9,0.259,ok
EICHERMOT,Eicher Motors Ltd.,Consumer Cyclical,Automobile and Auto Components,7352.0,INR,2018105884672,36.56984,8.034709,1.11,5353.0,8230.0,0.275,ok
ETERNAL,Eternal Ltd.,Consumer Cyclical,Consumer Services,288.0,INR,2651153235968,702.439,8.513406,,212.6,368.45,0.254,ok
GAIL,GAIL (India) Ltd.,Utilities,Oil Gas & Consumable Fuels,173.0,INR,1137488691200,14.926661,1.2762913,7.39,134.36,188.89,0.548,ok
GODREJCP,Godrej Consumer Products Ltd.,Consumer Defensive,Fast Moving Consumer Goods,1088.7,INR,1114072023040,59.23286,8.794519,1.86,967.05,1309.0,0.324,ok
GRASIM,Grasim Industries Ltd.,Basic Materials,Construction Materials,3229.3,INR,2190023458816,43.422077,2.1164234,0.32,2502.5,3246.0,0.328,ok
HCLTECH,HCL Technologies Ltd.,Technology,Information Technology,1161.9,INR,3143830339584,18.843658,4.1483397,8.38,1030.0,1780.1,0.062,ok
HDFCAMC,HDFC Asset Management Company Ltd.,Financial Services,Financial Services,2763.3,INR,1184497532928,41.565884,12.827321,2.03,2205.6,2967.25,0.555,ok
HDFCBANK,HDFC Bank Ltd.,Financial Services,Financial Services,824.25,INR,12694444834816,18.231586,2.165045,1.6,726.65,1020.5,0.422,ok
HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services,Financial Services,569.2,INR,1236265598976,64.38914,6.9197755,0.38,543.0,815.0,0.501,ok
HINDALCO,Hindalco Industries Ltd.,Basic Materials,Metals & Mining,975.0,INR,2164341211136,16.323456,1.5846341,0.51,657.5,1176.0,0.826,ok
HAL,Hindustan Aeronautics Ltd.,Industrials,Capital Goods,4513.9,INR,3018783195136,33.146572,7.3558335,0.46,3479.1,5034.0,0.491,ok
HINDUNILVR,Hindustan Unilever Ltd.,Consumer Defensive,Fast Moving Consumer Goods,2154.0,INR,5061019697152,47.382317,10.383925,2.06,2022.5,2750.0,0.364,ok
HINDZINC,Hindustan Zinc Ltd.,Basic Materials,Metals & Mining,536.7,INR,2267728838656,16.458141,10.021286,3.96,413.5,733.0,0.673,ok
